Season,TeamID,Conf Tourney Wins,Conf Tourney Losses,Tournament Win %,Pom,SAG,MOR,WLK
2003,1104,3,0,1,3,1,2,1
2003,1112,3,0,1,10,8,6,9
2003,1116,1,1,0.5,20,23,26,23
2003,1120,0,1,0,29,26,27,28
2003,1113,2,1,0.666666667,68,66,73,60
2003,1124,0,1,0,15,13,16,13
2003,1129,1,1,0.5,31,56,53,31
2003,1158,3,0,1,73,70,61,49
2003,1159,3,0,1,114,109,98,100
2003,1166,1,1,0.5,13,11,13,15
2003,1179,3,0,1,66,55,57,55
2003,1181,3,0,1,21,14,12,20
2003,1192,3,0,1,312,307,285,293
2003,1194,3,0,1,26,42,39,24
2003,1202,3,0,1,89,80,95,89
2003,1213,4,0,1,109,112,117,104
2003,1222,2,1,0.666666667,1,2,1,2
2003,1224,3,0,1,215,220,237,186
2003,1228,0,1,0,33,27,20,35
2003,1231,1,1,0.5,30,18,15,27
2003,1233,3,0,1,74,79,56,59
2003,1234,0,1,0,37,31,28,39
2003,1235,1,1,0.5,23,32,25,25
2003,1242,2,1,0.666666667,9,7,9,5
2003,1243,0,1,0,24,25,24,19
2003,1244,3,0,1,127,149,127,106
2003,1245,3,0,1,71,65,79,66
2003,1246,0,1,0,28,20,31,30
2003,1248,3,0,1,92,97,101,90
2003,1266,3,0,1,12,12,10,11
2003,1268,1,1,0.5,22,24,19,29
2003,1272,3,0,1,19,15,14,18
2003,1274,1,1,0.5,40,35,41,34
2003,1277,0,1,0,32,30,35,33
2003,1280,1,1,0.5,49,53,55,52
2003,1281,1,1,0.5,51,52,40,45
2003,1286,3,0,1,110,131,134,115
2003,1301,1,1,0.5,55,46,42,47
2003,1305,0,1,0,43,84,68,46
2003,1297,3,0,1,161,158,154,156
2003,1321,0,1,0,42,40,32,38
2003,1331,3,0,1,56,75,77,68
2003,1336,3,1,0.75,39,41,34,40
2003,1338,1,1,0.5,77,59,71,65
2003,1343,2,0,1,112,107,121,107
2003,1344,0,1,0,44,38,36,43
2003,1345,3,0,1,7,10,8,7
2003,1361,3,0,1,14,28,30,12
2003,1369,3,0,1,257,256,219,243
2003,1388,1,1,0.5,11,17,23,16
2003,1394,3,0,1,170,199,227,166
2003,1395,1,1,0.5,27,21,21,26
2003,1397,1,1,0.5,5,9,5,10
2003,1400,3,0,1,6,5,4,4
2003,1401,2,1,0.666666667,25,19,29,21
2003,1411,3,0,1,285,283,309,284
2003,1417,2,1,0.666666667,2,3,3,3
2003,1163,1,1,0.5,4,6,7,6
2003,1364,3,0,1,102,106,118,116
2003,1421,3,0,1,146,154,147,126
2003,1425,0,1,0,36,36,51,36
2003,1429,2,1,0.666666667,18,37,45,17
2003,1433,3,0,1,58,45,48,37
2003,1436,3,0,1,113,104,124,99
2003,1438,2,1,0.666666667,34,29,33,32
2003,1452,1,1,0.5,17,22,17,22
2003,1462,2,1,0.666666667,16,16,22,14
2003,1211,2,0,1,8,4,11,8
