Team,Wins
Illinois,4.35
Tennessee,5.51
North Carolina,5.67
Florida St,5.84
Baylor,5.85
Gonzaga,5.88
San Diego St,5.91
USC,5.96
Colorado,5.97
Houston,5.98
St Bonaventure,6.0
Kansas,6.12
Arkansas,6.19
Utah St,6.29
West Virginia,6.32
Texas Tech,6.49
Connecticut,6.52
Drake,6.57
Loyola-Chicago,6.74
Michigan,6.75
Virginia Tech,6.88
Abilene Chr,6.97
Oklahoma St,7.08
Georgia Tech,7.15
North Texas,7.16
Syracuse,7.22
Colgate,7.24
Texas,7.26
Oklahoma,7.28
Virginia,7.28
Florida,7.28
Wisconsin,7.29
Villanova,7.36
Purdue,7.37
Ohio St,7.39
Oregon,7.5
UC Santa Barbara,7.61
Iowa,7.62
Winthrop,7.63
LSU,7.64
Grand Canyon,7.65
Maryland,7.65
Rutgers,7.69
UCLA,7.7
Clemson,7.71
Creighton,7.85
Alabama,7.97
Wichita St,8.18
Georgetown,8.44
UNC Greensboro,8.48
BYU,8.55
Michigan St,8.74
Missouri,8.89
Ohio,9.09
Liberty,9.47
E Washington,9.72
Drexel,9.76
Iona,9.97
Oregon St,10.15
Oral Roberts,10.41
Morehead St,10.43
Hartford,11.08
Norfolk St,14.49
TX Southern,14.64
